context,prefix,namespace,status
bioregistry,3DMET,http://identifiers.org/3dmet/,canonical
bioregistry,3DMET,http://bio2rdf.org/3dmet:,prefix_alias
bioregistry,3DMET,http://bioregistry.io/3dmet:,prefix_alias
bioregistry,3DMET,http://identifiers.org/3dmet:,prefix_alias
bioregistry,3DMET,http://n2t.net/3dmet:,prefix_alias
bioregistry,3DMET,http://www.3dmet.dna.affrc.go.jp/cgi/show_data.php?acc=,prefix_alias
bioregistry,3DMET,https://bio2rdf.org/3dmet:,prefix_alias
bioregistry,3DMET,https://bioregistry.io/3dmet:,prefix_alias
bioregistry,3DMET,https://identifiers.org/3dmet/,prefix_alias
bioregistry,3DMET,https://identifiers.org/3dmet:,prefix_alias
bioregistry,3DMET,https://n2t.net/3dmet:,prefix_alias
bioregistry,3DMET,https://www.3dmet.dna.affrc.go.jp/cgi/show_data.php?acc=,prefix_alias
bioregistry,4DN,http://identifiers.org/4dn/,namespace_alias
bioregistry,4DN.BIOSOURCE,http://identifiers.org/4dn/,canonical
bioregistry,4DN.BIOSOURCE,http://bio2rdf.org/4dn:,prefix_alias
bioregistry,4DN.BIOSOURCE,http://bioregistry.io/4DN:,prefix_alias
bioregistry,4DN.BIOSOURCE,http://bioregistry.io/4dn.biosource:,prefix_alias
bioregistry,4DN.BIOSOURCE,http://data.4dnucleome.org/,prefix_alias
bioregistry,4DN.BIOSOURCE,http://data.4dnucleome.org/biosources/,prefix_alias
bioregistry,4DN.BIOSOURCE,http://identifiers.org/4dn:,prefix_alias
bioregistry,4DN.BIOSOURCE,https://bio2rdf.org/4dn:,prefix_alias
bioregistry,4DN.BIOSOURCE,https://bioregistry.io/4DN:,prefix_alias
bioregistry,4DN.BIOSOURCE,https://bioregistry.io/4dn.biosource:,prefix_alias
bioregistry,4DN.BIOSOURCE,https://data.4dnucleome.org/,prefix_alias
bioregistry,4DN.BIOSOURCE,https://data.4dnucleome.org/biosources/,prefix_alias
bioregistry,4DN.BIOSOURCE,https://identifiers.org/4dn/,prefix_alias
bioregistry,4DN.BIOSOURCE,https://identifiers.org/4dn:,prefix_alias
bioregistry,4DN.REPLICATE,https://data.4dnucleome.org/experiment-set-replicates/,canonical
bioregistry,4DN.REPLICATE,http://bioregistry.io/4dn.replicate:,prefix_alias
bioregistry,4DN.REPLICATE,http://data.4dnucleome.org/experiment-set-replicates/,prefix_alias
bioregistry,4DN.REPLICATE,https://bioregistry.io/4dn.replicate:,prefix_alias
bioregistry,AAO,http://purl.obolibrary.org/obo/AAO_,canonical
bioregistry,AAO,http://bio2rdf.org/aao:,prefix_alias
bioregistry,AAO,http://bioregistry.io/AAO:,prefix_alias
bioregistry,AAO,https://bio2rdf.org/aao:,prefix_alias
bioregistry,AAO,https://bioregistry.io/AAO:,prefix_alias
bioregistry,AAO,https://purl.obolibrary.org/obo/AAO_,prefix_alias
bioregistry,ABCD,https://web.expasy.org/abcd/ABCD_,canonical
bioregistry,ABCD,http://bioregistry.io/abcd:,prefix_alias
bioregistry,ABCD,http://web.expasy.org/abcd/,prefix_alias
