context,prefix,namespace,status
bioregistry,3dmet,https://identifiers.org/3dmet:,canonical
bioregistry,4dn.biosource,https://identifiers.org/4dn:,canonical
bioregistry,4dn.replicate,https://data.4dnucleome.org/experiment-set-replicates/,canonical
bioregistry,AAO,http://purl.obolibrary.org/obo/AAO_,canonical
bioregistry,abcd,https://web.expasy.org/abcd/ABCD_,canonical
bioregistry,abm,https://www.abmgood.com/catalogsearch/result/?cat=&q=,canonical
bioregistry,abs,https://identifiers.org/abs:,canonical
bioregistry,ac,http://www.w3.org/ns/activitystreams#,canonical
bioregistry,aceview.worm,https://identifiers.org/aceview.worm:,canonical
bioregistry,addexbio,https://www.addexbio.com/productdetail?pid=,canonical
bioregistry,addgene,https://identifiers.org/addgene:,canonical
bioregistry,ADO,http://purl.obolibrary.org/obo/ADO_,canonical
bioregistry,ADW,https://identifiers.org/adw:,canonical
bioregistry,AEO,http://purl.obolibrary.org/obo/AEO_,canonical
bioregistry,AERO,http://purl.obolibrary.org/obo/AERO_,canonical
bioregistry,affy.probeset,https://identifiers.org/affy.probeset:,canonical
bioregistry,aftol.taxonomy,https://identifiers.org/aftol.taxonomy:,canonical
bioregistry,agricola,https://identifiers.org/agricola:,canonical
bioregistry,agrkb,https://www.alliancegenome.org/accession/,canonical
bioregistry,AGRO,http://purl.obolibrary.org/obo/AGRO_,canonical
bioregistry,agrovoc,http://aims.fao.org/aos/agrovoc/c_,canonical
bioregistry,AISM,http://purl.obolibrary.org/obo/AISM_,canonical
bioregistry,allergome,https://identifiers.org/allergome:,canonical
bioregistry,alzforum.mutation,https://www.alzforum.org/mutations/,canonical
bioregistry,amoebadb,https://identifiers.org/amoebadb:,canonical
bioregistry,AMPHX,http://purl.obolibrary.org/obo/AMPHX_,canonical
bioregistry,antibodyregistry,https://identifiers.org/antibodyregistry:,canonical
bioregistry,antweb,https://identifiers.org/antweb:,canonical
bioregistry,aop,https://identifiers.org/aop:,canonical
bioregistry,aop.events,https://identifiers.org/aop.events:,canonical
bioregistry,aop.relationships,https://identifiers.org/aop.relationships:,canonical
bioregistry,aop.stressor,https://identifiers.org/aop.stressor:,canonical
bioregistry,apaonto,http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#,canonical
bioregistry,apd,https://identifiers.org/apd:,canonical
bioregistry,aphidbase.transcript,https://identifiers.org/aphidbase.transcript:,canonical
bioregistry,apid.interactions,https://identifiers.org/apid.interactions:,canonical
bioregistry,APO,http://purl.obolibrary.org/obo/APO_,canonical
bioregistry,APOLLO_SV,http://purl.obolibrary.org/obo/APOLLO_SV_,canonical
bioregistry,arachnoserver,https://identifiers.org/arachnoserver:,canonical
bioregistry,araport,https://www.arabidopsis.org/servlets/TairObject?type=locus&name=,canonical
bioregistry,ardb,https://identifiers.org/ardb:,canonical
bioregistry,ark,https://identifiers.org/ARK:,canonical
bioregistry,ARO,http://purl.obolibrary.org/obo/ARO_,canonical
