context,prefix,namespace,status,expansion_source
merged.monarch,3DMET,http://identifiers.org/3dmet/,canonical,bioregistry
merged.monarch,3DMET,http://bio2rdf.org/3dmet:,prefix_alias,bioregistry
merged.monarch,3DMET,http://bioregistry.io/3dmet:,prefix_alias,bioregistry
merged.monarch,3DMET,http://identifiers.org/3dmet:,prefix_alias,bioregistry
merged.monarch,3DMET,http://n2t.net/3dmet:,prefix_alias,bioregistry
merged.monarch,3DMET,http://www.3dmet.dna.affrc.go.jp/cgi/show_data.php?acc=,prefix_alias,bioregistry
merged.monarch,3DMET,https://bio2rdf.org/3dmet:,prefix_alias,bioregistry
merged.monarch,3DMET,https://bioregistry.io/3dmet:,prefix_alias,bioregistry
merged.monarch,3DMET,https://identifiers.org/3dmet/,prefix_alias,bioregistry
merged.monarch,3DMET,https://identifiers.org/3dmet:,prefix_alias,bioregistry
merged.monarch,3DMET,https://n2t.net/3dmet:,prefix_alias,bioregistry
merged.monarch,3DMET,https://www.3dmet.dna.affrc.go.jp/cgi/show_data.php?acc=,prefix_alias,bioregistry
merged.monarch,4DN,http://identifiers.org/4dn/,namespace_alias,bioregistry
merged.monarch,4DN.BIOSOURCE,http://identifiers.org/4dn/,canonical,bioregistry
merged.monarch,4DN.BIOSOURCE,http://bio2rdf.org/4dn:,prefix_alias,bioregistry
merged.monarch,4DN.BIOSOURCE,http://bioregistry.io/4DN:,prefix_alias,bioregistry
merged.monarch,4DN.BIOSOURCE,http://bioregistry.io/4dn.biosource:,prefix_alias,bioregistry
merged.monarch,4DN.BIOSOURCE,http://data.4dnucleome.org/,prefix_alias,bioregistry
merged.monarch,4DN.BIOSOURCE,http://data.4dnucleome.org/biosources/,prefix_alias,bioregistry
merged.monarch,4DN.BIOSOURCE,http://identifiers.org/4dn:,prefix_alias,bioregistry
merged.monarch,4DN.BIOSOURCE,https://bio2rdf.org/4dn:,prefix_alias,bioregistry
merged.monarch,4DN.BIOSOURCE,https://bioregistry.io/4DN:,prefix_alias,bioregistry
